data,session,multiplier,session_ls,win_amount,number,death,Amount,a,w
2024-03-02 12:29:03.353752,6138532,3.6,1709371714517,1479235.52,4988,1428,394705.31,6997,3000
2024-03-02 12:29:06.923530,6138532,3.6,1709371714517,1479235.52,4988,1428,973745.09,6997,3000
2024-03-02 12:29:10.496797,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:14.055621,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:17.631917,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:21.200005,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:21.201997,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:28.306990,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:31.876831,6138535,1.32,1709371733754,147938.57,5350,4691,964182.08,6997,3000
2024-03-02 12:29:35.451347,6138535,1.32,1709371733754,147938.57,5350,4691,964182.08,6997,3000
2024-03-02 12:29:39.024388,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:42.593846,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:46.162193,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:49.734595,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:29:53.287253,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:29:56.876319,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:30:00.449960,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:00.452942,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:04.017031,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:07.584324,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:11.150154,6138540,1.52,1709371774903,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:14.734604,6138540,1.52,1709371774903,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:18.302793,6138540,1.3,1709371794292,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:21.862212,6138543,1.3,1709371794292,111477.69,4916,4297,1101705.81,6997,3000
2024-03-02 12:30:21.864184,6138543,1.3,1709371794292,111477.69,4916,4297,1101705.81,6997,3000
2024-03-02 12:30:29.008975,6138543,1.3,1709371794292,111477.69,4916,4297,953819.1,6997,3000
2024-03-02 12:30:36.129975,6138546,-1,-1,286876.25,4597,3249,953819.1,6997,3000
2024-03-02 12:30:39.699452,6138546,18.97,1709371836808,2811129.78,4597,320,953819.1,6997,3000
2024-03-02 12:31:04.688915,6138546,18.97,1709371836808,2811129.78,4597,320,435117.9,6997,3000
2024-03-02 12:31:08.264806,6138546,18.97,1709371836808,2811129.78,4597,320,882160.74,6997,3000
2024-03-02 12:31:11.831376,6138546,18.97,1709371836808,2811129.78,4597,320,1093387.32,6997,3000
2024-03-02 12:31:15.394181,6138546,18.97,1709371836808,2811129.78,4597,320,1093387.32,6997,3000
2024-03-02 12:31:18.959474,6138550,1.03,1709371853437,21947.28,6014,5985,1093387.32,6997,3000
2024-03-02 12:31:18.961463,6138546,18.97,1709371836808,-1,-1,-1,-1,6997,3000
2024-03-02 12:31:22.530980,6138550,1.03,1709371853437,21947.28,6014,5985,1093387.32,6997,3000
2024-03-02 12:31:22.532062,6138550,1.03,1709371853437,21947.28,6014,5985,1093387.32,6997,3000
2024-03-02 12:31:26.094350,6138550,1.03,1709371853437,21947.28,6014,5985,1093387.32,6997,3000
2024-03-02 12:31:33.215321,6138550,1.03,1709371853437,21947.28,6014,5985,996138.64,6997,3000
2024-03-02 12:31:36.767256,6138550,1.03,1709371853437,21947.28,6014,5985,996138.64,6997,3000
2024-03-02 12:31:40.349410,6138553,2.01,1709371875666,427979.54,4919,3367,996138.64,6997,3000
2024-03-02 12:31:47.515058,6138553,2.01,1709371875666,427979.54,4919,3367,996138.64,6997,3000
2024-03-02 12:31:51.097634,6138553,2.01,1709371875666,427979.54,4919,3367,1238642.18,6997,3000
2024-03-02 12:31:54.658258,6138553,2.01,1709371875666,427979.54,4919,3367,1238642.18,6997,3000
2024-03-02 12:31:58.236934,6138553,2.01,1709371875666,427979.54,4919,3367,1238642.18,6997,3000
2024-03-02 12:32:01.801932,6138555,1.57,1709371896387,384617.08,5424,4100,1238642.18,6997,3000
2024-03-02 12:32:01.803920,6138555,1.57,1709371896387,384617.08,5424,4100,1238642.18,6997,3000
2024-03-02 12:32:05.372194,6138555,1.57,1709371896387,384617.08,5424,4100,1238642.18,6997,3000
2024-03-02 12:32:08.958617,6138555,1.57,1709371896387,384617.08,5424,4100,956387.45,6997,3000
2024-03-02 12:32:19.659588,6138558,-1,-1,722874.36,5032,2769,1018709.81,6997,3000
2024-03-02 12:32:23.230310,6138558,4.03,1709371923129,1633329.63,5032,1273,1018709.81,6997,3000
2024-03-02 12:32:30.364520,6138558,4.03,1709371923129,1633329.63,5032,1273,367448.54,6997,3000
2024-03-02 12:32:37.520118,6138558,4.03,1709371923129,1633329.63,5032,1273,1113660.84,6997,3000
2024-03-02 12:32:41.086613,6138558,4.03,1709371923129,1633329.63,5032,1273,1113660.84,6997,3000
2024-03-02 12:32:44.651147,6138558,4.03,1709371923129,451048.88,5937,4023,1113660.84,6997,3000
2024-03-02 12:32:48.223097,6138561,2.14,1709371945366,814114.01,5937,3483,1113660.84,6997,3000
2024-03-02 12:32:51.788622,6138561,2.14,1709371945366,814114.01,5937,3483,1113660.84,6997,3000
2024-03-02 12:32:55.375326,6138561,2.14,1709371945366,814114.01,5937,3483,1113660.84,6997,3000
2024-03-02 12:32:58.940590,6138561,2.14,1709371945366,814114.01,5937,3483,1121987.23,6997,3000
2024-03-02 12:33:02.509360,6138561,2.14,1709371945366,814114.01,5937,3483,1121987.23,6997,3000
2024-03-02 12:33:06.088142,6138561,2.14,1709371945366,814114.01,5937,3483,1121987.23,6997,3000
2024-03-02 12:33:13.238612,6138564,1.16,1709371963948,86860.1,5560,5168,1121987.23,6997,3000
2024-03-02 12:33:13.240600,6138564,1.16,1709371963948,86860.1,5560,5168,1121987.23,6997,3000
2024-03-02 12:33:16.806840,6138564,1.16,1709371963948,86860.1,5560,5168,1121987.23,6997,3000
2024-03-02 12:33:20.379242,6138564,1.16,1709371963948,86860.1,5560,5168,1121987.23,6997,3000
2024-03-02 12:33:23.950320,6138564,1.16,1709371963948,86860.1,5560,5168,974673.48,6997,3000
2024-03-02 12:33:27.503948,6138567,1.68,1709371985143,388278.67,4751,3484,974673.48,6997,3000
2024-03-02 12:33:38.201793,6138567,1.68,1709371985143,388278.67,4751,3484,1007452.32,6997,3000
2024-03-02 12:33:45.341244,6138567,1.68,1709371985143,388278.67,4751,3484,1073163.57,6997,3000
2024-03-02 12:33:48.909810,6138569,2.11,1709372007637,829298.39,5316,3014,1073163.57,6997,3000
2024-03-02 12:33:52.478792,6138569,2.11,1709372007637,829298.39,5316,3014,1073163.57,6997,3000
2024-03-02 12:33:56.050563,6138569,2.11,1709372007637,829298.39,5316,3014,1073163.57,6996,3000
2024-03-02 12:33:59.615542,6138569,2.11,1709372007637,829298.39,5316,3014,1073163.57,6996,3000
2024-03-02 12:34:03.204374,6138569,2.11,1709372007637,829298.39,5316,3014,1173402.29,6996,3000
2024-03-02 12:34:10.318490,6138569,2.11,1709372007637,829298.39,5316,3014,1173402.29,6996,3000
2024-03-02 12:34:13.887957,6138572,1.08,1709372025343,22764.09,5658,5537,1173402.29,6996,3000
2024-03-02 12:34:13.889007,6138573,-1,-1,-1,-1,-1,311766.07,6997,3000
2024-03-02 12:34:17.476614,6138572,1.08,1709372025343,22764.09,5658,5537,1173402.29,6996,3000
2024-03-02 12:34:17.478594,6138572,1.08,1709372025343,22764.09,5658,5537,1173402.29,6997,3000
2024-03-02 12:34:21.051499,6138572,1.08,1709372025343,22764.09,5658,5537,1173402.29,6997,3000
2024-03-02 12:34:24.625186,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:31.778992,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:31.780992,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:35.347298,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:38.917617,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:42.494795,6138573,1.04,1709372042377,31684.16,4826,4763,962063.67,6997,3000
2024-03-02 12:34:46.073204,6138576,1.09,1709372060248,63651.57,4348,4230,1098796.52,6997,3000
2024-03-02 12:34:46.074200,6138573,1.04,1709372042377,31684.16,4826,4763,-1,6997,3000
2024-03-02 12:34:49.627028,6138576,1.09,1709372060248,63651.57,4348,4230,1098796.52,6997,3000
2024-03-02 12:34:49.629014,6138576,1.09,1709372060248,63651.57,4348,4230,1098796.52,6997,3000
